Business_ID,Name,Address,City,Latitude,Longitude,Grade
PR0091448,GRAZE CRAZE,209 12th AVE S STE B,Seattle,,,1
PR0015856,BOWL GOGI,500 108TH AVE NE STE 1B1,BELLEVUE,47.6148931238,-122.1957486807,2
PR0089215,AMAZON - TBN MARKET PLACE,18460 NE 76TH ST,REDMOND,47.67303317,-122.09425207,1
PR0033873,ZEEKS PIZZA INC,41 DRAVUS ST ,SEATTLE,47.6484049293,-122.3558524053,1
PR0089443,KSBH INVESTMENTS INC.,100 ELLINGSON RD,PACIFIC,47.27209,-122.25061,2
PR0086852,BAG O' CRAB,1295 N 205TH ST,SHORELINE,47.77535594,-122.34282653,2
PR0002187,SALTORO RESTAURANT,14051 GREENWOOD AVE N ,Seattle,47.7321451459,-122.3559546855,1
PR0069026,PCC COMMUNITY MARKETS,600 N 34TH ST ,SEATTLE,47.6499353205,-122.3510146146,3
PR0086411,SOPRANO'S ANTICO,2348 CALIFORNIA AVE SW,SEATTLE,47.58153996,-122.3862169,1
PR0069415,ROB ROY,2332 2ND AVE ,SEATTLE,47.6147796931,-122.3465475085,1
PR0071944,CAFFE FIORE,224 W GALER ST ,SEATTLE,47.6324780402,-122.3608162768,1
PR0043185,TACO DEL MAR,11016 8TH AVE NE ,SEATTLE,47.7092647404,-122.3202886385,2
PR0081236,AREPA VENEZUELAN KITCHEN,4058 FACTORIA MALL BL SE -STE H2,BELLEVUE,47.575151,-122.171499,2
PR0069857,TARGET STORE #T-681,26301 104TH AVE SE ,Kent,47.3664709972,-122.2033949674,2
PR0081843,SMOKING MONKEY PIZZA,613 S 3RD ST #B,RENTON,47.47956036,-122.20875662,1
PR0068662,"KIRKPATRICK, LOCKHART,PRESTON, GATE","925 4TH, FL 19 AVE FL 19",SEATTLE,47.605473406,-122.3326332037,1
PR0079686,KING'S TERIYAKI,1539 BLAKE ST #102,ENUMCLAW,47.20049436,-121.983755,2
PR0089879,ARENA AT SEATTLE CENTER,334 1ST AVE N,SEATTLE,47.62250374,-122.35458006,1
PR0010722,INDIA BELLY,8406 RAILROAD AVE SE ,SNOQUALMIE,47.5249726167,-121.8221163639,1
PR0080960,HARTWOOD CAFE,202 W NORTH BEND WAY #D,NORTH BEND,47.49575667,-121.78706904,1
PR0076725,STARBUCKS COFFEE,26304 NE BIG ROCK RD BLDG B,DUVALL,47.72717,-121.98493,1
PR0091967,DOUGH ZONE,1706 S 320TH ST STE L,Federal Way,,,1
PR0090391,425Cellars LLC,14525 148th AVE NE STE 112,Woodinville,47.73365885,-122.14250407,1
PR0088306,STARBUCKS COFFEE #519,17230 140TH AVE SE,RENTON,47.4477037995,-122.1527079659,1
PR0085460,KIKI BAKERY,13200 AURORA AVE N STE #E,SEATTLE,47.72503653,-122.34360478,1
PR0087314,WEST SEATTLE NURSERY,5275 CALIFORNIA AVE SW,SEATTLE,47.55419,-122.38727,1
PR0067525,ITALIANISSIMO RISTORANTE,15608 NE WOODINVILLE-DUVALL PL ,WOODINVILLE,47.7629361335,-122.1309748775,1
PR0089887,ARENA AT SEATTLE CENTER,334 1ST AVE N,SEATTLE,47.62250374,-122.35458006,1
PR0081577,7-ELEVEN #35056A,17615 108TH AVE SE,RENTON,47.44486281,-122.19751716,2
PR0087847,DANIEL'S BROILER,808 HOWELL ST STE 200,SEATTLE,47.6145258,-122.333941,1
PR0001994,UGLY MUG CAFE,1309 NE 43RD ST ,Seattle,47.6596381114,-122.3139420249,2
PR0090431,UMAMI BALLARD LLC,6421 15th AVE NW Unit B,SEATTLE,47.67584268,-122.37661681,2
PR0084812,AMAZON KUMO CAFE,1915 TERRY AVE,SEATTLE,47.61655864,-122.3344276,1
PR0048809,HARVEST VINE,2701 E MADISON ST,Seattle,47.6225687961,-122.2972414091,1
PR0025534,SHARPS ROASTHOUSE INC,18427 INTERNATIONAL BL,SEATAC,47.4377237319,-122.2961209953,2
PR0090339,SO SAAP SAUCE,1525 A ST NE STE 106,AUBURN,47.32199234,-122.22949021,4
PR0003159,"FALAFEL KING, LLC",1509 1ST AVE ,SEATTLE,47.6090365506,-122.3404902934,1
PR0041419,LIST RESTAURANT,2226 1ST AVE ,Seattle,47.6133357904,-122.3458748173,2
PR0004155,MADISON KITCHEN,4122 E MADISON ST ,Seattle,47.6354919654,-122.2789606778,2
