X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,STATE_NAME,PHONE,DISTRICT,FAC_CLASS,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
1267250.39290869,174857.376132607,1,650002,128,65,Burien Police Department,Burien PD,14905 6th Ave SW,98166,Burien,WA,(206) 477-2200,KC,1,E,moved to current location/QC- changed PIN from 0321049126,https://www.burienwa.gov/residents/public_safety/police,3207200120,320720,0120
1284175.62415002,161553.784301519,2,10001704,,65,KC Precinct 4 Headquarters,KC Precinct 4 HQ,4800 S 188th St,98188,SeaTac,WA,(206) 973-4900,ST,0,N,,https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,3423049197,342304,9197
1343521.23150843,221666.048591182,3,650006,375887,65,Sammamish Police Department,Sammamish PD,801 228th Ave NE,98075,Sammamish,WA,(425) 295-0770,SM,5,E,"moved to current location/updated address/QC- unconfirmed parcel, changed address",https://www.sammamish.us/government/departments/police/,0424069255,042406,9255
1322000.59804061,133693.22289677,4,650020,672195,65,Covington Police Department,Covington PD,16720 SE 271st St,98042,Covington,WA,(206) 296-3311,CO,3,E,QC- moved to City Hall from 17210 SE 272nd,https://www.covingtonwa.gov/city_departments/police.php,1796330040,179633,0040
1293707.73402278,227631.476949021,5,650039,118339,65,Medina Police Department,Medina PD,501 Evergreen Point Rd,98039,Medina,WA,(425) 233-6420,ME,0,Y,placed manually/QC,https://www.medina-wa.gov/police,5427300050,542730,0050
1350343.29102702,114961.485097855,6,650040,637870,65,Black Diamond Police Department,Black Diamond PD,25510 Lawson St,98010,Black Diamond,WA,(360) 851-4450,BD,0,Y,placed manually/QC- moved one parcel east,https://www.blackdiamondwa.gov/police-department,0844000975,084400,0975
1280617.89504503,174183.398477942,7,650073,607737,65,Tukwila Police Department,Tukwila PD,15005 Tukwila International Blvd,98188,Tukwila,WA,(206) 433-1808,TU,0,Y,"placed manually/QC- moved one parcel west towards 62nd Ave S, new website",https://www.tukwilawa.gov/departments/police/,3597000282,359700,0282
1322251.50961228,94756.2604165226,8,650085,807384,65,Muckleshoot Tribe Police Department,Muckleshoot PD,38903 172nd Ave SE,98092,Unincorporated King County,WA,(253) 876-3246,AU,0,Y,"addeed 9/04, new website, address",http://www.muckleshoot.nsn.us/services/muckleshoot-police-department.aspx,0120059057,012005,9057
1289316.23558794,104688.147048771,9,650028,802571,65,Algona Police Department,Algona,402 Warde St,98001,Algona,WA,(253) 288-2121,AL,0,X,"NEW station/QC- moved east, same bldg as city hall (per call), new website",https://www.algonawa.gov/police,9543000225,954300,0225
1237364.46744443,167352.497769684,10,650022,408450,65,Vashon Substation,Vashon,10011 SW Bank Rd,98070,Unincorporated King County,WA,(206) 477-6655,KC,4,X,moved to current location,https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,2846200092,284620,0092
1352968.24411044,76820.1860525161,11,650045,392576,65,Enumclaw Police Department,Enumclaw Police Department,1705 Wells St,98022,Enumclaw,WA,(360) 825-3505 ,EN,0,Y,placed manually/QC,https://www.cityofenumclaw.net/149/Police,8004600189,800460,0189
1280184.23908819,172159.568864182,12,650071,734397,65,WSP District 2 Seattle South Detachment,WSP District 2 Seattle S Detach,15666 International Blvd,98188,Tukwila,WA,(206) 439-3830,SE,0,Y,placed manually/QC- changed address from Tukwila International Blvd,https://www.wsp.wa.gov/,2223049029,222304,9029
1320519.85625145,229409.158761099,13,650031,767827,65,Crossroads Police Substation,Crossroads,15600 NE 8th St,98007,Bellevue,WA,(425) 452-2891,BE,0,E,NEW station/QC- changed loc after calling station,https://bellevuewa.gov/city-government/departments/police,2625059206,262505,9206
1274431.91496295,227832.683895692,14,650066,453753,65,Seattle Police East Precinct,SPD East Precinct,1519 12th Ave,98122,Seattle,WA,(206) 684-4300,SE,0,Y,placed manually/QC,https://www.seattle.gov/police/about-us/police-locations/east-precinct,6003500315,600350,0315
